software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,DB4b,4553,0.6081392137003959,0.8376664552948636,0.2901383703052932,686199,256,3232,1321,2,"['PAM', 'LAMA2']","['NOS1AP', 'PAM', 'LAMA2', 'ANO2', 'CACNA2D3', 'OLFM3', 'DACH1', 'KIRREL3', 'PCDH7', 'ESRRG']",0.5721815824508667
4.1,author_cell_type,OFFx,15495,0.7850189568603341,0.9202402402402402,0.49441755404969345,674849,664,7834,7661,2,"['ARHGAP6', 'ENSG00000278254']","['ARHGAP6', 'FEZF1-AS1', 'ENSG00000259048.1', 'CHST11', 'ENSG00000278254.4', 'NAV3', 'NXPH1', 'ENSG00000286648.1', 'ERBB4', 'PAM']",0.8123201131820679
4.1,author_cell_type,DB5,52358,0.8430602523544598,0.9879269938214615,0.5313801138316971,638310,340,24536,27822,2,"['COL19A1', 'DOK5']","['COL19A1', 'DOK5', 'HS3ST5', 'MYO16', 'ENSG00000231424.3', 'HDAC2-AS2', 'KCNMB2', 'OLFM3', 'ST6GALNAC3', 'KCTD16']",1.0
4.1,author_cell_type,DB3b,35342,0.821782011862157,0.9350475553218945,0.5535623337671892,654307,1359,15778,19564,2,"['MEIS2', 'ENSG00000242021']","['MEIS2', 'C8orf34', 'ABCA8', 'ZFPM2', 'TPH1', 'ENSG00000242021.2', 'ABCB1', 'ENSG00000228933.8', 'ABCA4', 'DSCAM']",1.0
4.1,author_cell_type,DB1,50429,0.9174744107692386,0.9894800784162133,0.7106228558964088,640198,381,14593,35836,2,"['LAMA3', 'EBF1']","['LAMA3', 'EBF1', 'KIT', 'CHRNA7', 'ADCY8', 'PEX5L', 'ZMAT4', 'NXPH2', 'NXPH1', 'ENSG00000278254.4']",1.0
4.1,author_cell_type,DB6,18587,0.877512570651428,0.9139701104613386,0.7567654812503363,671097,1324,4521,14066,1,['ENSG00000275443'],"['ENSG00000275443.2', 'NR2F2-AS1', 'SYK', 'CFAP299', 'LRRC4C', 'SULT1C4', 'ENSG00000261502.4', 'C4orf19', 'GNAL', 'HERC5']",1.0
4.1,author_cell_type,DB2,68176,0.7705138070338049,0.8781672770760146,0.5170001173433466,617942,4890,32929,35247,2,"['ENSG00000243004', 'ENSG00000249803']","['COL5A1', 'ENSG00000250284.3', 'ENSG00000267055.1', 'ENSG00000243004.7', 'ENSG00000287708.1', 'ENSG00000249803.6', 'DOCK10', 'TAFA4', 'DSCAM', 'SOX6']",0.5730772614479065
4.1,author_cell_type,DB4a,44604,0.871187663792776,0.8841882092177223,0.8227961617792127,641597,4807,7904,36700,1,['LINC01915'],"['LINC01915', 'KCNJ3', 'PTPRK', 'DIRC3', 'TTR', 'ENSG00000254607.3', 'IQCA1', 'LAMA2', 'INSYN2A', 'LINC00470']",1.0
4.1,author_cell_type,FMB,144086,0.9157741044694531,0.9821658219229896,0.7208611523673362,545036,1886,40220,103866,2,"['NKAIN3', 'TAFA4']","['GRIK2', 'NEK10', 'SCG2', 'NKAIN3', 'ENSG00000286980.1', 'TAFA4', 'SLC4A7', 'PTPRO', 'KCNQ3', 'TACR3']",0.559483528137207
4.1,author_cell_type,GB,25269,0.8084593411777038,0.8299704062415927,0.7325181051881753,661947,3792,6759,18510,1,['UTRN'],"['UTRN', 'UST', 'PCSK6', 'AGBL1', 'RFTN1', 'TENM3-AS1', 'PCDH11X', 'EIF2AK3', 'MAP3K5', 'COL4A2']",1.0
4.1,author_cell_type,DB3a,21827,0.9492430663786582,0.947981613798753,0.9543226279378751,668038,1143,997,20830,1,['ERBB4'],"['ENSG00000267109.1', 'DPP6', 'LINC01798', 'TMEM132B', 'ADGRL3', 'ERBB4', 'SEMA3A', 'DSCAM', 'SLIT2', 'ESRRG']",0.6579086
4.1,author_cell_type,BB,2931,0.7972692917225406,0.992412746585736,0.44626407369498466,688067,10,1623,1308,2,"['TAFA1', 'ENSG00000250971']","['TAFA1', 'SORCS3', 'ENSG00000250971.3', 'ANK1', 'THSD7B', 'PTPN3', 'SKOR2', 'GPC3', 'SLC7A11', 'CTNNA3']",1.0
4.1,author_cell_type,RB,101199,0.9295755186933219,0.9853916127042861,0.7578632199922924,588672,1137,24504,76695,2,"['CDHR3', 'PRKCA-AS1']","['CDHR3', 'BNC2', 'CA8', 'ANOS1', 'PRKCA-AS1', 'SASH1', 'ENSG00000227681.5', 'SAMD5', 'ENSG00000286961.2', 'ROR1']",0.8512098789215088
4.1,author_cell_type,IMB,106152,0.884807811930246,0.9894609018949388,0.6217593639309669,584153,703,40151,66001,2,"['RELN', 'ENSG00000271860']","['SLC35F4', 'RELN', 'ENSG00000271860.9', 'CDH9', 'PRKG1', 'ADAMTS20', 'SAMD5', 'ENSG00000227681.5', 'COL4A3', 'HS3ST4']",1.0
